Episode,AgentID,Type,Score,Reward,Steps
67,2,DDQN,23,0,0
67,3,DDQN,17,0,0
68,2,DDQN,15,0,0
72,0,DQN,10,0,0
69,2,DDQN,12,0,0
75,1,DQN,28,0,0
68,3,DDQN,17,0,0
76,1,DQN,1,0,0
73,0,DQN,13,0,0
77,1,DQN,1,0,0
74,0,DQN,2,0,0
70,2,DDQN,21,0,0
69,3,DDQN,21,0,0
75,0,DQN,15,0,0
71,2,DDQN,11,0,0
78,1,DQN,29,0,0
70,3,DDQN,15,0,0
76,0,DQN,18,0,0
72,2,DDQN,24,0,0
71,3,DDQN,12,0,0
72,3,DDQN,12,0,0
77,0,DQN,22,0,0
79,1,DQN,34,0,0
73,2,DDQN,32,0,0
80,1,DQN,16,0,0
74,2,DDQN,14,0,0
73,3,DDQN,23,0,0
74,3,DDQN,1,0,0
78,0,DQN,35,0,0
75,2,DDQN,24,0,0
75,3,DDQN,22,0,0
81,1,DQN,31,0,0
76,2,DDQN,10,0,0
76,3,DDQN,7,0,0
82,1,DQN,21,0,0
79,0,DQN,31,0,0
77,2,DDQN,38,0,0
77,3,DDQN,34,0,0
83,1,DQN,30,0,0
78,3,DDQN,7,0,0
78,2,DDQN,14,0,0
80,0,DQN,26,0,0
84,1,DQN,18,0,0
85,1,DQN,2,0,0
79,2,DDQN,25,0,0
86,1,DQN,18,0,0
79,3,DDQN,41,0,0
80,2,DDQN,22,0,0
80,3,DDQN,6,0,0
81,0,DQN,48,0,0
87,1,DQN,24,0,0
81,2,DDQN,32,0,0
81,3,DDQN,31,0,0
82,0,DQN,37,0,0
82,2,DDQN,21,0,0
88,1,DQN,47,0,0
82,3,DDQN,45,0,0
83,2,DDQN,32,0,0
84,2,DDQN,1,0,0
83,0,DQN,53,0,0
89,1,DQN,33,0,0
83,3,DDQN,32,0,0
85,2,DDQN,30,0,0
84,3,DDQN,24,0,0
84,0,DQN,39,0,0
90,1,DQN,41,0,0
86,2,DDQN,32,0,0
85,0,DQN,19,0,0
91,1,DQN,20,0,0
85,3,DDQN,42,0,0
86,3,DDQN,3,0,0
87,2,DDQN,35,0,0
86,0,DQN,21,0,0
87,3,DDQN,13,0,0
92,1,DQN,27,0,0
87,0,DQN,21,0,0
88,2,DDQN,24,0,0
88,3,DDQN,27,0,0
88,0,DQN,15,0,0
93,1,DQN,47,0,0
89,2,DDQN,35,0,0
89,3,DDQN,41,0,0
90,2,DDQN,8,0,0
89,0,DQN,32,0,0
94,1,DQN,32,0,0
91,2,DDQN,16,0,0
90,3,DDQN,24,0,0
95,1,DQN,11,0,0
92,2,DDQN,29,0,0
90,0,DQN,46,0,0
96,1,DQN,40,0,0
91,3,DDQN,42,0,0
93,2,DDQN,25,0,0
91,0,DQN,27,0,0
97,1,DQN,0,0,0
92,0,DQN,16,0,0
98,1,DQN,7,0,0
94,2,DDQN,35,0,0
99,1,DQN,13,0,0
92,3,DDQN,43,0,0
93,0,DQN,30,0,0
95,2,DDQN,34,0,0
100,1,DQN,38,0,0
93,3,DDQN,40,0,0
96,2,DDQN,28,0,0
94,0,DQN,7,0,0
94,3,DDQN,35,0,0
95,0,DQN,9,0,0
97,2,DDQN,47,0,0
95,3,DDQN,32,0,0
96,0,DQN,22,0,0
96,3,DDQN,28,0,0
97,3,DDQN,15,0,0
97,0,DQN,47,0,0
98,2,DDQN,70,0,0
98,0,DQN,26,0,0
98,3,DDQN,44,0,0
99,3,DDQN,11,0,0
99,2,DDQN,40,0,0
99,0,DQN,33,0,0
100,3,DDQN,33,0,0
100,2,DDQN,35,0,0
100,0,DQN,37,0,0
